"","long","lat","prec","temp","pres","rh","uwind","vwind"
"41242",-69.1114912234486,47.3864183429726,0.283941596746445,278.605651855469,96929.5703125,79.589599609375,4.85297584533691,1.6510374546051
"41243",-68.7369755708239,47.2442624749649,0.276129096746445,278.605651855469,97242.0703125,79.589599609375,4.47016334533691,1.6461546421051
"41244",-68.3645538311332,47.1008497246296,0.276129096746445,279.753112792969,98692.0703125,75.652099609375,4.47797584533691,1.6246702671051
"41245",-67.9942268050514,46.956191962893,0.604254066944122,280.398620605469,98792.0703125,77.417724609375,4.09613990783691,1.6158812046051
"41589",-69.3188352932305,47.131182256694,0.174566596746445,278.424987792969,96567.0703125,77.456787109375,5.14008522033691,1.4811155796051
"41590",-68.9456100935402,46.9897588321519,0.205816596746445,278.411315917969,96567.0703125,77.495849609375,4.78266334533691,1.4762327671051
"41591",-68.5744509494434,46.8470824476732,0.190191596746445,278.728698730469,98029.5703125,74.120849609375,4.31977272033691,1.3463499546051
"41592",-68.2053588809294,46.7031648674458,0.190191596746445,279.539245605469,98529.5703125,73.839599609375,4.41059303283691,1.4391233921051
"41593",-67.8383344939718,46.5580178709419,0.252691596746445,279.636901855469,97867.0703125,76.855224609375,4.03168678283691,1.4371702671051
"41935",-69.524114676911,46.8756016414124,0.0573790855705738,278.219909667969,96604.5703125,76.753662109375,5.38227272033691,1.2418577671051
"41936",-69.1521784887094,46.7349071195286,0.112066581845284,278.187683105469,96742.0703125,76.573974609375,5.01117897033691,1.2389280796051
"41937",-68.782280921704,46.5929635886693,0.174566596746445,278.728698730469,97542.0703125,74.120849609375,4.32367897033691,1.3365843296051
"41938",-68.4144232062738,46.449782707211,0.127691581845284,278.670104980469,97792.0703125,73.698974609375,4.63617897033691,1.2184202671051
"41939",-68.0486061645362,46.3053761498069,0.0730040818452835,279.270690917969,98467.0703125,71.948974609375,4.22602272033691,1.2457640171051
"42282",-69.7273570143029,46.6196872503884,0.0105040855705738,278.086120605469,96654.5703125,75.964599609375,5.22797584533691,1.0904905796051
"42283",-69.3567081917569,46.4797181077044,0.0339415855705738,278.086120605469,96642.0703125,75.964599609375,4.52289772033691,1.1949827671051
"42284",-68.9880709729007,46.3385039344399,0.0495665855705738,278.196472167969,96654.5703125,76.105224609375,4.04633522033691,1.2711546421051
"42285",-68.6214467898775,46.1960562841195,0.0339415855705738,278.521667480469,97417.0703125,72.159912109375,4.05121803283691,1.2525999546051
"42286",-68.2568366723008,46.0523867275021,0.00269158557057381,278.521667480469,98517.0703125,72.159912109375,3.55219483375549,1.4156858921051
"42287",-67.894241255615,45.9075068504468,0.0886290818452835,279.187683105469,98917.0703125,72.011474609375,3.03168702125549,1.6598265171051
"42629",-69.9285895197272,46.3634497440053,0.00269158557057381,277.531433105469,96067.0703125,77.534912109375,4.62543678283691,1.1051390171051
"42630",-69.559226221212,46.2242024744527,0.0105040855705738,278.049987792969,96442.0703125,75.097412109375,4.83442115783691,1.0934202671051
"42631",-69.1918479197497,46.0837141790566,0.0105040855705738,278.093933105469,96217.0703125,75.394287109375,4.33930397033691,1.1442015171051
"42632",-68.8264562409127,45.941996307447,0.0105040855705738,277.530456542969,97129.5703125,76.183349609375,3.81489014625549,1.2692015171051
"42633",-68.4630524134491,45.7990603274094,0.00269158557057381,278.930847167969,98929.5703125,71.0192947387695,3.81879639625549,1.2496702671051
"42634",-68.1016372773657,45.6549177227704,0.0651915818452835,278.692565917969,98929.5703125,69.6521072387695,3.28364014625549,1.4684202671051
"42635",-67.7422112920329,45.5095799913223,0.158941596746445,279.117370605469,99192.0703125,71.363037109375,2.71332740783691,1.7828733921051
"42976",-70.1278389883271,46.1068996906754,0.276129096746445,277.650573730469,95604.5703125,78.628662109375,4.91938209533691,0.983068704605103
"42977",-69.7597591847277,45.9683708056036,0.00269158557057381,277.957214355469,96642.0703125,75.105224609375,4.35785865783691,1.0553343296051
"42978",-69.3936381764284,45.8286049247025,0.0105040855705738,277.984558105469,96717.0703125,74.339599609375,3.51215577125549,1.3346312046051
"42979",-69.0294777743761,45.6876133946595,0.00269158557057381,277.984558105469,97867.0703125,74.339599609375,2.93891334533691,1.5963499546051
"42980",-68.667279398369,45.5454075812062,0.00269158557057381,278.537292480469,98979.5703125,69.5114822387695,3.18305420875549,1.4039671421051
"42981",-68.3070440848706,45.4019988670222,0.0339415855705738,278.692565917969,99304.5703125,69.6521072387695,2.32074928283691,1.9693968296051
"42982",-67.9487724948496,45.2573986496767,0.0964415818452835,279.391784667969,99817.0703125,71.870849609375,1.5678197145462,2.5602171421051
"42983",-67.5924649216367,45.1116183396089,0.0964415818452835,279.686706542969,100242.0703125,69.4724197387695,1.5805150270462,2.5514280796051
"42984",-67.2381212987909,44.9646693581464,0.0573790855705738,280.552917480469,100917.0703125,76.972412109375,0.653757214546204,3.2711546421051
"43323",-70.3251318023382,45.8500475677052,0.198004081845284,277.375183105469,95542.0703125,76.472412109375,4.36664772033691,0.906896829605103
"43324",-69.9583332850667,45.7122335958973,0.0261290855705738,277.632019042969,96467.0703125,73.113037109375,3.42817139625549,1.2555296421051
"43325",-69.5934677602793,45.573186682511,0.0105040855705738,277.766784667969,97067.0703125,73.925537109375,2.80512428283691,1.5377562046051
"43326",-69.2305372165152,45.4329180722399,0.00269158557057381,278.575378417969,98504.5703125,70.9021072387695,3.18696045875549,1.3951780796051
"43327",-68.869543256807,45.2914390296776,0.00269158557057381,278.828308105469,99404.5703125,70.7458572387695,2.16938209533691,1.9186155796051
"43328",-68.5104871062342,45.1487608372396,0.00269158557057381,279.100769042969,99854.5703125,71.1755447387695,1.4320775270462,2.5328733921051
"43329",-68.1533696195056,45.0048947931231,0.0339415855705738,279.218933105469,99842.0703125,70.3083572387695,1.9135228395462,2.2047483921051
"43330",-67.7981912885628,44.859852209303,0.104254081845284,279.218933105469,100429.5703125,70.3083572387695,0.583444714546204,3.1666624546051
"43331",-67.4449522501966,44.7136444095653,0.00269158557057381,280.234558105469,101004.5703125,75.027099609375,1.0697728395462,2.8785765171051
"43670",-70.52049393731,45.5929037621394,0.182379081845284,277.069519042969,95567.0703125,73.956787109375,3.72016358375549,1.0748655796051
"43671",-70.1549743260474,45.4558012498156,0.0339415855705738,277.632019042969,96417.0703125,73.113037109375,2.72602272033691,1.4957640171051
"43672",-69.7913622974843,45.3174698733858,0.00269158557057381,277.469909667969,97217.0703125,72.542724609375,3.08442115783691,1.3238890171051
"43673",-69.4296600102339,45.1779207764941,0.00269158557057381,278.835144042969,99117.0703125,71.7692947387695,2.44672584533691,1.6783812046051
"43674",-69.0698692430082,45.0371651235085,0.00269158557057381,278.828308105469,99904.5703125,70.7458572387695,2.45356178283691,1.6627562046051
"43675",-68.7119914019189,44.8952140974614,0.00269158557057381,278.927917480469,99892.0703125,70.8083572387695,1.8061009645462,2.1705687046051
"43676",-68.3560275278105,44.7520788980264,0.00269158557057381,278.988464355469,100192.0703125,69.4333572387695,1.0277806520462,2.8317015171051
"43677",-68.0019783036176,44.6077707395317,0.190191596746445,280.121276855469,100904.5703125,73.488037109375,1.0434056520462,2.8258421421051
"44017",-70.7139509682781,45.3354785715831,0.276129096746445,276.799987792969,94454.5703125,77.761474609375,3.69281983375549,0.954748392105103
"44018",-70.3497077184493,45.1990840823927,0.0183165855705738,276.821472167969,95779.5703125,72.550537109375,2.72992897033691,1.4869749546051
"44019",-69.9873470287063,45.0614648287994,0.0261290855705738,278.469909667969,98104.5703125,71.6130447387695,3.07660865783691,1.2682249546051
"44020",-69.6268712204734,44.9226318543376,0.0105040855705738,278.469909667969,99567.0703125,71.6130447387695,2.11957740783691,1.9098265171051
"44021",-69.2682822408398,44.7825962240581,0.00269158557057381,278.879089355469,99929.5703125,73.089599609375,1.4350072145462,2.5123655796051
"44022",-68.9115816696151,44.6413690224875,0.00269158557057381,279.027526855469,100154.5703125,68.9177322387695,1.8178197145462,2.1988890171051
"44023",-68.5567707264212,44.4989613516233,0.00269158557057381,279.027526855469,100654.5703125,68.9177322387695,0.686960339546204,3.1158812046051
"44363",-71.2703527319163,45.212240526537,0.479254096746445,277.219909667969,94354.5703125,79.878662109375,3.39985108375549,1.0992796421051
"44364",-70.9055280758823,45.0777822050023,0.143316596746445,275.787292480469,93567.0703125,75.777099609375,2.76996803283691,1.5104124546051
"44365",-70.5425584858724,44.9420923200055,0.0730040818452835,276.390808105469,95342.0703125,73.847412109375,2.13227272033691,1.9899046421051
"44366",-70.1814468146928,44.8051817915726,0.0886290818452835,277.566589355469,98842.0703125,68.9099197387695,2.14301490783691,1.9791624546051
"44367",-69.8221955395635,44.6670615640629,0.0339415855705738,278.698425292969,99967.0703125,72.394287109375,1.5258275270462,2.5416624546051
"44368",-69.4648067688929,44.5277426041145,0.00269158557057381,278.708190917969,99954.5703125,71.4177322387695,1.8217259645462,2.1949827671051
"44369",-69.1092822490968,44.3872358986227,0.00269158557057381,278.858581542969,100354.5703125,72.386474609375,0.880319714546204,3.1910765171051
"44710",-71.4587794913619,44.9535861426481,0.283941596746445,277.740417480469,95167.0703125,78.589599609375,2.88227272033691,1.6959593296051
"44711",-71.0952500524289,44.8198247835044,0.158941596746445,277.001159667969,94367.0703125,77.136474609375,3.15180397033691,1.3424437046051
"44712",-70.7335512705505,44.684836101144,0.0808165818452835,277.658386230469,96067.0703125,68.5192947387695,2.50336647033691,1.8063108921051
"44713",-70.3736861418416,44.5486309166342,0.0886290818452835,277.658386230469,98867.0703125,68.5192947387695,1.6771947145462,2.6725218296051
"44714",-70.0156572925427,44.4112200760888,0.0573790855705738,278.670104980469,99967.0703125,70.3239822387695,1.9037572145462,2.3102171421051
"44715",-69.6594669855611,44.2726144486329,0.0105040855705738,278.708190917969,100404.5703125,71.4177322387695,1.3080540895462,2.8883421421051
"44716",-69.3051171270609,44.1328249244015,0.00269158557057381,279.935729980469,101167.0703125,74.003662109375,1.3256322145462,2.8824827671051
"45055",-72.3752595706578,44.9571077944741,1.00269162654877,278.984558105469,96954.5703125,79.683349609375,4.41938209533691,0.705724954605103
"45056",-72.0094196154216,44.8265181801124,0.619879066944122,277.410339355469,95704.5703125,75.300537109375,3.83051514625549,1.0865843296051
"45057",-71.6453789011369,44.6946841405102,0.0808165818452835,277.802917480469,95692.0703125,77.230224609375,2.88422584533691,1.6891233921051
"45058",-71.2831413078958,44.5616163410984,0.0417540855705738,276.043151855469,94742.0703125,74.027099609375,3.28266358375549,1.5387327671051
"45059",-70.922710339113,44.427325477162,0.0339415855705738,277.273620605469,97417.0703125,68.7380447387695,2.66645240783691,1.9986937046051
"45060",-70.5640891277234,44.291822271762,0.0183165855705738,278.165222167969,98992.0703125,67.8005447387695,1.6840306520462,2.6666624546051
"45061",-70.2072804424441,44.1551174736904,0.0183165855705738,278.165222167969,100104.5703125,67.8005447387695,2.08832740783691,2.4781858921051
"45062",-69.8522866940912,44.0172218554551,0.00269158557057381,279.861511230469,101167.0703125,73.769287109375,1.5219212770462,3.0172483921051
"45400",-73.2917235911224,44.9526555811431,2.33862924575806,279.667175292969,99717.0703125,76.183349609375,4.16840553283691,0.977209329605103
"45401",-72.9236825091141,44.825258770883,1.58081662654877,278.513854980469,97479.5703125,76.214599609375,3.61371827125549,1.4254515171051
"45402",-72.5574076294884,44.6966009731546,0.877691566944122,278.984558105469,96592.0703125,79.683349609375,3.94672608375549,1.2623655796051
"45403",-72.1929037099434,44.5666926878643,0.0730040818452835,277.355651855469,95817.0703125,73.863037109375,3.06098365783691,1.8961546421051
"45404",-71.8301751258098,44.4355444495836,0.0183165855705738,277.865417480469,95742.0703125,75.089599609375,2.46332740783691,2.3512327671051
"45405",-71.4692258758767,44.3031668254354,0.00269158557057381,276.043151855469,94554.5703125,74.027099609375,2.47309303283691,2.3414671421051
"45406",-71.110059588296,44.1695704130088,0.0105040855705738,277.406433105469,97554.5703125,67.9958572387695,1.8949681520462,2.8453733921051
"45407",-70.75267952656,44.0347658383051,0.0105040855705738,279.053894042969,99667.0703125,69.5583572387695,1.3559056520462,3.3981077671051
"45408",-70.3970885955436,43.8987637537124,0.0105040855705738,279.464050292969,100579.5703125,71.1677322387695,1.3725072145462,3.3912718296051
"45634",-122.396202124157,48.9344811304938,0.00269158557057381,281.924987792969,100892.0703125,71.0036697387695,-5.86382102966309,0.198889017105103
"45635",-121.962036182937,48.9933075653796,0.0495665855705738,275.094909667969,92292.0703125,72.542724609375,-6.05327415466309,-0.461267232894897
"45695",-95.1128561366462,49.359131763358,3.45581674575806,285.269714355469,97192.0703125,74.027099609375,-2.70073485374451,-0.0315797328948975
"45746",-74.2078964490363,44.940231644657,1.90894150733948,277.697448730469,97392.0703125,74.909912109375,4.26117897033691,1.1334593296051
"45747",-73.837765571709,44.8160471599805,2.29956650733948,277.905456542969,97617.0703125,72.7146072387695,3.74164795875549,1.6080687046051
"45748",-73.4693662952437,44.6905856822367,0.463629096746445,279.082214355469,99279.5703125,72.300537109375,3.94867920875549,1.2525999546051
"45749",-73.1027042459587,44.5638575361264,0.901129126548767,279.466979980469,98604.5703125,74.816162109375,3.26703858375549,2.0992796421051
"45750",-72.7377846632538,44.4358730858179,1.73706662654877,278.894714355469,97029.5703125,76.917724609375,2.70160865783691,2.6080687046051
"45751",-72.3746124050372,44.3066427328008,0.502691626548767,278.581237792969,96829.5703125,75.331787109375,2.89399147033691,2.2125608921051
"45752",-72.0131919532475,44.1761769137688,0.158941581845284,278.581237792969,96217.0703125,75.331787109375,2.13617897033691,3.0719358921051
"45753",-71.6535274194641,44.0444860985294,0.0183165855705738,276.043151855469,93592.0703125,71.9724197387695,2.31781959533691,2.6930296421051
"45754",-71.2956225505981,43.9115807879426,0.0183165855705738,278.684753417969,97854.5703125,68.7302322387695,1.7728978395462,3.1900999546051
"45755",-70.9394807346556,43.7774715118885,0.0339415855705738,278.684753417969,99554.5703125,68.7302322387695,1.1605931520462,4.10513877868652
"45756",-70.5851050065683,43.6421688272639,0.158941581845284,279.563659667969,100617.0703125,71.1442947387695,1.2963353395462,3.7457640171051
"45976",-124.449031278752,48.3317558304471,0.00269158557057381,282.697448730469,102004.5703125,85.120849609375,-5.13823509216309,2.6627562046051
"45981",-122.306176893678,48.6487528025804,0.0261290855705738,280.494323730469,99579.5703125,68.5583572387695,-5.84233665466309,0.546545267105103
"45982",-121.874411766634,48.7072366919051,0.0651915818452835,275.094909667969,91492.0703125,72.542724609375,-6.04936790466309,-0.138025045394897
"45983",-121.441639677181,48.7640678085029,0.0495665855705738,275.591979980469,87279.5703125,72.034912109375,-6.44585227966309,-1.1507203578949
"45984",-121.007886176382,48.8192403325282,0.0183165855705738,273.394714355469,85017.0703125,66.0817947387695,-6.23882102966309,-0.787439107894897
"45985",-120.573177195338,48.8727485961597,0.0183165855705738,269.735534667969,82504.5703125,55.8942947387695,-6.63042259216309,-1.7229859828949
"45986",-120.137539037695,48.9245870856844,0.0651915818452835,268.834167480469,81104.5703125,50.4021072387695,-6.81108665466309,-2.1692750453949
"45987",-119.700998371811,48.9747504435408,0.00269158557057381,265.569519042969,84279.5703125,42.8708572387695,-6.62358665466309,-1.9358766078949
"46043",-94.7448805299264,49.0241539563812,3.03394150733948,286.487487792969,97204.5703125,71.8942947387695,-2.28276634216309,-0.484704732894897
"46092",-74.7513959636056,44.7988877652214,1.11987912654877,279.459167480469,98767.0703125,77.230224609375,4.97016334533691,0.414709329605103
"46093",-74.3809838629793,44.6766411446312,1.22144162654877,277.697448730469,96317.0703125,74.909912109375,4.54340553283691,0.910803079605103
